SPACECRAFT_CLOCK_START_COUNT,MISSION_NAME,INSTRUMENT_ID,DATA_SET_ID,IMAGE_ID,OBSERVATION_ID,PRODUCT_TYPE,TARGET_NAME,IMAGE_TIME,FILTER_NAME,FILTER_NUMBER,EXPOSURE_DURATION,GAIN_MODE_ID,FRAME_DURATION,OBSTRUCTION_ID,ORBIT_NUMBER,NTV_TIME_FROM_CLOSEST_APPROACH,NTV_SAT_TIME_FROM_CLOSEST_APR,PHASE_ANGLE,EMISSION_ANGLE,INCIDENCE_ANGLE,LOCAL_HOUR_ANGLE,TWIST_ANGLE,CONE_ANGLE,RIGHT_ASCENSION,DECLINATION,NORTH_AZIMUTH,SMEAR_AZIMUTH,SMEAR_MAGNITUDE,HORIZONTAL_PIXEL_SCALE,VERTICAL_PIXEL_SCALE,SLANT_DISTANCE,LIGHT_SOURCE_LATITUDE,LIGHT_SOURCE_LONGITUDE,TARGET_CENTER_DISTANCE,CENTRAL_BODY_DISTANCE,SUB_SPACECRAFT_LATITUDE,SUB_SPACECRAFT_LONGITUDE,SUB_SOLAR_AZIMUTH,SUB_SOLAR_LATITUDE,SUB_SOLAR_LONGITUDE,SOLAR_DISTANCE,SUB_SPACECRAFT_LINE,SUB_SPACECRAFT_LINE_SAMPLE,CENTER_RING_RADIUS,VOLUME_ID,FILE_SPECIFICATION_NAME,COMPRESSION_TYPE,ENCODING_MIN_COMPRESSION_RATIO,ENCODING_MAX_COMPRESSION_RATIO,ENCODING_COMPRESSION_RATIO,PROCESSING_HISTORY_TEXT
3899232.13,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,G7G0021,G7GSACHELS01,REDR,GANYMEDE,1997-04-05 06:33:45.562000+00:00,CLEAR,0,12.5,100K,8.667,PRESENCE VERIFIED,7,000T19:29:41Z,-000T00:37:14Z,70.013,55.651,85.453,101.337,78.063,100.221,231.345,-28.371,86.699,-999,0.1,181.504,312.432,17483.3,62.543,15.739,19093.53,1051254.0,13.788,7.45,184.08,-0.762,297.132,764038000,-10774.8,-1218.2,-999,GO_0018,G7/GANYMEDE/C0389923213R.IMG,INTEGER COSINE TRANSFORM,5.585,4.274,7.23,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
3899234.0,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,G7G0030,G7GSNUNSUL01,REDR,GANYMEDE,1997-04-05 06:35:38.229000+00:00,CLEAR,0,12.5,100K,8.667,NOT POSSIBLE,7,000T19:31:34Z,-000T00:35:21Z,76.279,60.468,48.644,161.093,74.748,93.953,223.975,-28.548,87.396,-999,0.1,259.232,284.688,16754.4,44.93,316.001,18197.37,1052194.0,14.528,8.058,216.669,-0.762,297.198,764039000,-9104.48,8524.807,-999,GO_0018,G7/GANYMEDE/C0389923400R.IMG,INTEGER COSINE TRANSFORM,9.634,4.902,11.893,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
3899234.13,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,G7G0031,G7GSNUNSUL01,REDR,GANYMEDE,1997-04-05 06:35:46.895000+00:00,CLEAR,0,12.5,100K,8.667,NOT POSSIBLE,7,000T19:31:42Z,-000T00:35:13Z,75.921,56.953,51.198,155.663,74.939,94.296,224.358,-28.677,87.329,-999,0.1,231.057,264.663,16557.5,45.774,321.4,18128.62,1052267.0,14.588,8.107,213.143,-0.762,297.203,764039000,-9137.09,7823.141,-999,GO_0018,G7/GANYMEDE/C0389923413R.IMG,INTEGER COSINE TRANSFORM,5.013,3.598,5.361,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
3899236.0,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,G7G0040,G7GSNEITH_01,REDR,GANYMEDE,1997-04-05 06:37:39.562000+00:00,CLEAR,0,12.5,100K,8.667,NOT POSSIBLE,7,000T19:33:35Z,-000T00:33:20Z,72.603,15.226,71.903,111.05,76.746,97.635,227.028,-33.412,86.185,-999,0.1,148.983,154.4,14682.2,28.114,6.21,17237.55,1053208.0,15.408,8.781,186.108,-0.762,297.268,764040000,-3532.23,831.923,-999,GO_0018,G7/GANYMEDE/C0389923600R.IMG,INTEGER COSINE TRANSFORM,4.116,2.72,4.63,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
5524436.0,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,28G0005,28GSBRTDRK01,REDR,GANYMEDE,2000-05-20 10:14:27.381000+00:00,CLEAR,0,12.5,100K,8.667,NOT POSSIBLE,28,-000T18:37:36Z,000T00:04:25Z,78.351,21.283,57.616,235.544,254.797,99.415,133.338,32.475,267.0,-999,0.1,20.5589,19.8331,1929.92,-14.444,318.844,4485.731,1069147.0,-14.104,309.579,185.923,3.041,14.265,747368000,-3062.22,21591.15,-999,GO_0023,G28/GANYMEDE/C0552443600R.IMG,BARC RATE CONTROL,0.0,0.0,0.0,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
3899236.13,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,G7G0041,G7GSNEITH_01,REDR,GANYMEDE,1997-04-05 06:37:48.233000+00:00,CLEAR,0,20.83,100K,8.667,NOT POSSIBLE,7,000T19:33:44Z,-000T00:33:11Z,72.236,15.14,74.282,108.327,76.979,98.009,227.442,-33.554,86.094,-999,0.1,147.341,153.763,14612.9,28.319,8.917,17169.19,1053280.0,15.475,8.835,185.421,-0.762,297.273,764040000,-3539.01,108.967,-999,GO_0018,G7/GANYMEDE/C0389923613R.IMG,INTEGER COSINE TRANSFORM,3.706,2.899,4.054,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
5524436.13,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,28G0006,28GSBRTDRK01,REDR,GANYMEDE,2000-05-20 10:14:36.048000+00:00,CLEAR,0,12.5,100K,8.667,NOT POSSIBLE,28,-000T18:37:27Z,000T00:04:34Z,76.084,19.275,57.432,235.395,256.004,101.735,130.678,32.842,266.714,-999,0.1,21.9016,20.1202,1979.68,-14.419,319.038,4548.3,1069050.0,-13.893,310.535,186.172,3.041,14.27,747368000,-3118.6,19244.39,-999,GO_0023,G28/GANYMEDE/C0552443613R.IMG,BARC RATE CONTROL,0.0,0.0,0.0,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
3899236.26,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,G7G0042,G7GSNEITH_01,REDR,GANYMEDE,1997-04-05 06:37:56.899000+00:00,CLEAR,0,20.83,100K,8.667,NOT POSSIBLE,7,000T19:33:52Z,-000T00:33:03Z,72.292,17.989,74.539,108.585,76.94,97.97,227.467,-33.181,86.167,-999,0.1,148.593,155.501,14576.3,30.803,8.717,17100.9,1053353.0,15.542,8.89,186.048,-0.762,297.278,764041000,-4282.75,132.166,-999,GO_0018,G7/GANYMEDE/C0389923626R.IMG,INTEGER COSINE TRANSFORM,3.846,3.344,4.375,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
5524436.26,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,28G0007,28GSBRTDRK01,REDR,GANYMEDE,2000-05-20 10:14:44.714000+00:00,CLEAR,0,12.5,100K,8.667,NOT POSSIBLE,28,-000T18:37:19Z,000T00:04:42Z,74.13,17.749,57.088,235.029,259.203,103.663,128.365,33.091,264.343,-999,0.1,20.6723,20.7777,2034.58,-14.376,319.397,4612.032,1068953.0,-13.683,311.463,184.289,3.041,14.275,747368000,-3829.24,17280.27,-999,GO_0023,G28/GANYMEDE/C0552443626R.IMG,BARC RATE CONTROL,0.0,0.0,0.0,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
3899236.39,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,G7G0043,G7GSNEITH_01,REDR,GANYMEDE,1997-04-05 06:38:05.566000+00:00,CLEAR,0,20.83,100K,8.667,NOT POSSIBLE,7,000T19:34:01Z,-000T00:32:54Z,72.788,17.962,72.165,111.337,76.624,97.458,226.873,-33.133,86.27,-999,0.1,147.842,154.829,14507.7,30.59,5.956,17032.64,1053425.0,15.61,8.946,186.839,-0.762,297.283,764041000,-4276.93,891.044,-999,GO_0018,G7/GANYMEDE/C0389923639R.IMG,INTEGER COSINE TRANSFORM,3.767,2.944,4.155,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
